Algo,GraphSize,PQType,Result_ms
AStar,5,BMH,0.07079998613335192
AStar,5,LL,0.0337999954354018
Prims,5,BMH,0.0743999844416976
Prims,5,LL,0.030700000934302807
AStar,6,BMH,0.04949999856762588
AStar,6,LL,0.03429999924264848
Prims,6,BMH,0.08679999154992402
Prims,6,LL,0.04069998976774514
AStar,7,BMH,0.05859998054802418
AStar,7,LL,0.044100015657022595
Prims,7,BMH,0.10150001617148519
Prims,7,LL,0.0816000101622194
AStar,8,BMH,0.05360000068321824
AStar,8,LL,0.03950000973418355
Prims,8,BMH,0.12299997615627944
Prims,8,LL,0.053800002206116915
AStar,9,BMH,0.12020001304335892
AStar,9,LL,0.0644999963697046
Prims,9,BMH,0.149500003317371
Prims,9,LL,0.06369999027810991
AStar,10,BMH,0.05740000051446259
AStar,10,LL,0.04529999569058418
Prims,10,BMH,0.20260000019334257
Prims,10,LL,0.07340000593103468
AStar,11,BMH,0.06029999349266291
AStar,11,LL,0.046699977247044444
Prims,11,BMH,0.18649999401532114
Prims,11,LL,0.08669999078847468
AStar,12,BMH,0.07270000060088933
AStar,12,LL,0.05930001498199999
Prims,12,BMH,0.19970000721514225
Prims,12,LL,0.09250000584870577
AStar,13,BMH,0.06609997944906354
AStar,13,LL,0.05199998850002885
Prims,13,BMH,0.2243999915663153
Prims,13,LL,0.10610002209432423
AStar,14,BMH,0.06809999467805028
AStar,14,LL,0.05479998071677983
Prims,14,BMH,0.2376000047661364
Prims,14,LL,0.11610001092776656
AStar,15,BMH,0.08910000906325877
AStar,15,LL,0.15059998258948326
Prims,15,BMH,0.3800999838858843
Prims,15,LL,0.12939999578520656
AStar,16,BMH,0.07239999831654131
AStar,16,LL,0.05980001878924668
Prims,16,BMH,0.3288000007160008
Prims,16,LL,0.13719999697059393
AStar,17,BMH,0.07499998901039362
AStar,17,LL,0.06390002090483904
Prims,17,BMH,0.3625999961514026
Prims,17,LL,0.159099989105016
AStar,18,BMH,0.07720000576227903
AStar,18,LL,0.10140001541003585
Prims,18,BMH,0.35829999251291156
Prims,18,LL,0.17479999223724008
AStar,19,BMH,0.09459999273531139
AStar,19,LL,0.06749999010935426
Prims,19,BMH,0.37349999183788896
Prims,19,LL,0.18580001778900623
AStar,20,BMH,0.09610000415705144
AStar,20,LL,0.08359999628737569
Prims,20,BMH,0.4087999986950308
Prims,20,LL,0.22059999173507094
AStar,21,BMH,0.08509997860528529
AStar,21,LL,0.07270000060088933
Prims,21,BMH,0.4729999927803874
Prims,21,LL,0.22119999630376697
AStar,22,BMH,0.08830000297166407
AStar,22,LL,0.09690001024864614
Prims,22,BMH,0.47649999032728374
Prims,22,LL,0.2398999931756407
AStar,23,BMH,0.0908000220078975
AStar,23,LL,0.07770000956952572
Prims,23,BMH,0.47389999963343143
Prims,23,LL,0.43200000072829425
AStar,24,BMH,0.09350001346319914
AStar,24,LL,0.08110000635497272
Prims,24,BMH,0.5607000202871859
Prims,24,LL,0.26530001196078956
AStar,25,BMH,0.09529999806545675
AStar,25,LL,0.0832000223454088
Prims,25,BMH,0.548899988643825
Prims,25,LL,0.3206999972462654
AStar,26,BMH,0.09839999256655574
